Date,Open,High,Low,Close,Volume
2024-09-06,4473.95,4518.95,4440.00,4456.75,1649179
2024-09-09,4455.00,4490.25,4430.50,4449.55,1184938
2024-09-10,4442.45,4539.95,4440.45,4507.85,1385591
2024-09-11,4521.45,4549.35,4471.25,4479.35,1325919
2024-09-12,4510.25,4532.60,4431.30,4517.70,2742216
2024-09-13,4530.00,4547.00,4505.00,4522.60,1458786
2024-09-16,4527.00,4546.05,4494.45,4513.25,1155120
2024-09-17,4513.25,4535.80,4466.00,4505.65,1699364
2024-09-18,4497.05,4497.05,4321.00,4346.15,2961779
2024-09-19,4390.05,4422.20,4281.80,4296.15,2927551
2024-09-20,4316.90,4330.70,4227.50,4284.90,5447908
2024-09-23,4300.00,4309.40,4253.00,4268.50,1702319
2024-09-24,4251.65,4291.00,4240.00,4271.30,3012026
2024-09-25,4252.35,4289.60,4240.00,4274.75,2713073
2024-09-26,4260.00,4316.80,4260.00,4292.50,3964251
2024-09-27,4335.00,4378.00,4300.05,4308.70,3012477
2024-09-30,4286.90,4298.75,4260.05,4268.50,2503416
2024-10-01,4255.55,4295.75,4242.95,4287.90,1823365
2024-10-03,4262.60,4279.00,4210.00,4232.75,3350119
2024-10-04,4225.00,4298.00,4224.05,4252.25,2965463
2024-10-07,4273.90,4297.25,4229.40,4272.85,1472619
2024-10-08,4272.60,4279.40,4203.95,4253.25,1541867
2024-10-09,4260.00,4295.00,4246.70,4252.95,1082504
2024-10-10,4253.25,4293.85,4198.60,4227.40,2378875
2024-10-11,4143.00,4241.95,4112.45,4149.20,5759183
2024-10-14,4140.00,4165.40,4122.20,4136.65,2137590
2024-10-15,4131.05,4169.95,4095.00,4116.80,2759474
2024-10-16,4085.00,4115.00,4067.20,4094.95,2359151
2024-10-17,4112.80,4129.95,4092.95,4109.00,2522659
2024-10-18,4090.00,4146.15,4080.00,4123.05,2361000
2024-10-21,4132.60,4139.95,4070.00,4079.85,1595450
2024-10-22,4066.00,4089.80,4006.35,4015.50,1928049
2024-10-23,3999.60,4113.55,3995.15,4066.25,1966476
2024-10-24,4004.00,4079.00,4004.00,4047.90,2676744
2024-10-25,4057.05,4092.00,4032.70,4057.55,1759676
2024-10-28,4068.95,4134.00,4051.00,4090.85,1532534
2024-10-29,4095.85,4103.50,4060.10,4075.25,1445885
2024-10-30,4075.00,4107.00,4060.05,4084.65,1935002
2024-10-31,4070.00,4078.30,3960.00,3968.45,3740372
2024-11-01,3989.85,3998.95,3976.05,3984.20,154895
2024-11-04,3966.30,3991.90,3913.25,3964.15,2269192
2024-11-05,3941.10,3986.00,3941.10,3971.35,967590
2024-11-06,4003.60,4149.80,3975.25,4139.65,3792017
2024-11-07,4169.70,4205.80,4085.05,4150.90,3724349
2024-11-08,4155.00,4169.75,4117.65,4147.00,1648039
2024-11-11,4128.20,4234.30,4117.65,4198.70,1406487
2024-11-12,4216.00,4218.00,4164.35,4197.40,1587640
2024-11-13,4178.10,4196.75,4131.05,4150.35,1098813
2024-11-14,4135.00,4160.00,4116.45,4145.90,1825432
2024-11-18,4213.00,4213.00,3990.20,4019.50,3313944
2024-11-19,4019.90,4132.15,4014.10,4039.55,1776233
2024-11-21,4044.90,4092.45,4024.00,4072.85,2384347
2024-11-22,4071.00,4254.95,4054.00,4244.60,3096553
2024-11-25,4280.00,4328.10,4252.20,4315.10,4052167
2024-11-26,4321.05,4366.60,4310.00,4352.70,2060669
2024-11-27,4358.95,4377.40,4324.05,4332.55,1558993
2024-11-28,4319.00,4339.95,4233.00,4244.90,2558544
2024-11-29,4220.00,4298.70,4195.65,4270.85,2017425
2024-12-02,4270.00,4288.20,4230.05,4276.65,1670944
2024-12-03,4314.35,4325.00,4265.45,4302.75,2010905
2024-12-04,4313.55,4386.95,4289.05,4354.40,3302642
2024-12-05,4400.80,4489.00,4360.00,4464.05,3746747
2024-12-06,4453.00,4465.00,4412.75,4445.50,1842087
2024-12-09,4430.45,4469.40,4415.55,4452.15,2066639
2024-12-10,4426.15,4493.80,4412.10,4432.55,2087828
2024-12-11,4431.85,4448.65,4407.00,4427.45,1635256
2024-12-12,4430.05,4485.00,4426.00,4454.95,1914642
2024-12-13,4434.95,4494.90,4394.40,4473.90,1967048
2024-12-16,4459.00,4475.00,4397.00,4415.20,1646224
2024-12-17,4410.00,4432.95,4318.00,4328.50,3225027
2024-12-18,4311.70,4362.00,4289.60,4347.85,1575404
2024-12-19,4282.00,4364.00,4262.00,4271.90,3015763
2024-12-20,4329.00,4382.00,4152.50,4170.30,4116989
2024-12-23,4200.05,4217.00,4114.90,4158.30,2195338
2024-12-24,4158.30,4218.00,4158.30,4179.50,1181886
2024-12-26,4179.50,4199.95,4143.15,4169.10,1208464
2024-12-27,4163.00,4180.95,4147.25,4164.85,858100
2024-12-30,4151.00,4199.30,4112.00,4158.80,1527169
2024-12-31,4135.00,4139.95,4032.05,4094.80,1555429
2025-01-01,4094.40,4134.00,4085.45,4112.45,763161
2025-01-02,4120.00,4183.00,4096.95,4175.75,1720835
2025-01-03,4179.95,4179.95,4092.30,4099.90,1791953
2025-01-06,4105.50,4149.65,4066.40,4095.00,2085593
2025-01-07,4114.95,4140.35,4011.55,4028.30,2669054
2025-01-08,4034.90,4126.00,4017.75,4108.40,2181277
2025-01-09,4101.00,4137.75,4025.30,4038.85,2392472
2025-01-10,4200.00,4297.00,4170.00,4265.65,7894300
2025-01-13,4245.00,4322.95,4227.40,4291.10,4003771
2025-01-14,4302.00,4313.90,4219.05,4233.05,3441709
2025-01-15,4218.00,4256.45,4207.45,4249.60,1653474
2025-01-16,4260.00,4294.00,4191.85,4206.30,2637705
2025-01-17,4159.90,4160.60,4100.05,4124.30,1761466
2025-01-20,4145.80,4145.80,4068.10,4077.80,1287799
2025-01-21,4095.30,4111.00,4030.00,4035.85,1971591
2025-01-22,4050.00,4163.15,4044.20,4156.60,2409223
2025-01-23,4168.00,4191.35,4140.05,4145.45,1822998
2025-01-24,4104.00,4178.00,4104.00,4152.35,1910099
2025-01-27,4102.00,4156.35,4041.05,4065.15,1551782
2025-01-28,4070.80,4102.00,4028.30,4040.30,2468272
2025-01-29,4054.00,4107.85,4054.00,4099.80,1217089
2025-01-30,4099.90,4129.90,4058.50,4100.05,1531251
2025-01-31,4110.00,4128.45,4085.25,4112.40,1492943
2025-02-01,4113.00,4135.90,4056.00,4073.15,437172
2025-02-03,4030.90,4077.00,3998.70,4068.65,1265713
2025-02-04,4083.70,4118.85,4066.05,4107.05,2547132
2025-02-05,4150.00,4150.00,4076.00,4091.10,1693912
2025-02-06,4105.40,4139.50,4051.55,4082.75,2284536
2025-02-07,4090.00,4090.00,4008.00,4029.40,1548940
2025-02-10,4040.00,4052.00,4014.35,4036.95,1339511
2025-02-11,4018.40,4040.00,3955.00,3963.55,1810908
2025-02-12,3971.10,4021.75,3940.15,3950.15,1678002
2025-02-13,3968.00,3984.45,3902.25,3910.15,2277310
2025-02-14,3925.00,3948.00,3900.00,3934.85,1681975
2025-02-17,3856.50,3934.00,3856.20,3904.50,1799806
2025-02-18,3898.40,3924.40,3864.50,3873.20,2149879
2025-02-19,3872.20,3874.95,3768.15,3784.10,4366672
2025-02-20,3761.50,3788.00,3751.30,3779.40,2888572
2025-02-21,3776.10,3817.00,3775.00,3786.00,1833931
2025-02-24,3743.15,3763.20,3670.00,3675.60,2508516
2025-02-25,3625.00,3658.00,3621.25,3629.55,4101954
2025-02-27,3611.70,3638.00,3600.70,3612.55,3823856
2025-02-28,3584.95,3600.00,3457.00,3483.25,7085018
2025-03-03,3485.00,3523.25,3476.15,3493.05,4990439
2025-03-04,3474.00,3551.00,3464.30,3532.05,2797737
2025-03-05,3520.85,3600.35,3520.85,3547.05,2501894
2025-03-06,3557.00,3609.45,3536.10,3601.60,2786513
2025-03-07,3600.00,3625.00,3574.40,3611.20,2051315
2025-03-10,3606.50,3622.10,3582.60,3589.65,1004626
2025-03-11,3558.00,3588.75,3537.65,3575.30,1995450
2025-03-12,3565.00,3569.25,3486.85,3506.20,3174167
2025-03-13,3502.30,3524.30,3484.10,3511.05,1693004
2025-03-17,3489.00,3530.45,3477.35,3497.70,2690906
2025-03-18,3502.35,3556.95,3478.45,3552.45,3069109
2025-03-19,3547.00,3547.00,3462.75,3497.10,3051244
2025-03-20,3512.00,3578.95,3512.00,3563.15,2845192
2025-03-21,3475.00,3616.25,3465.00,3578.10,4161925
2025-03-24,3600.00,3649.75,3566.60,3628.95,1834751
2025-03-25,3645.00,3710.00,3638.00,3657.75,3135390
2025-03-26,3647.75,3680.50,3625.85,3635.80,1734499
2025-03-27,3614.85,3663.00,3610.50,3651.20,2528474
2025-03-28,3651.00,3660.95,3591.90,3606.15,2051919
2025-04-01,3572.70,3584.00,3525.00,3550.80,2618493
2025-04-02,3544.00,3564.10,3530.05,3543.95,1764313
2025-04-03,3491.00,3502.00,3396.15,3403.15,4537821
2025-04-04,3362.60,3399.65,3295.50,3299.40,5317367
2025-04-07,3100.00,3291.40,3056.05,3274.05,6623955
2025-04-08,3302.05,3349.00,3255.30,3292.95,5557558
2025-04-09,3260.55,3270.00,3212.05,3246.60,2990265
2025-04-11,3289.55,3298.95,3206.00,3231.50,7108961
2025-04-15,3314.40,3314.40,3238.60,3248.20,3512160
2025-04-16,3248.20,3278.10,3229.00,3273.80,2384391
2025-04-17,3245.50,3303.60,3218.00,3298.90,2932346
2025-04-21,3290.10,3354.00,3284.10,3321.60,2432946
2025-04-22,3322.60,3333.90,3295.00,3314.40,2710498
2025-04-23,3365.00,3420.90,3337.30,3413.00,3543923
2025-04-24,3401.10,3412.50,3387.70,3401.60,2252175
2025-04-25,3420.00,3477.80,3405.00,3448.00,2742991
2025-04-28,3435.00,3457.80,3405.00,3443.50,1593296
2025-04-29,3455.00,3495.00,3430.40,3472.50,1578332
2025-04-30,3472.00,3509.90,3366.00,3453.70,2809332
2025-05-02,3472.00,3491.50,3420.00,3444.70,2115624
2025-05-05,3450.00,3504.50,3446.40,3454.30,1284443
2025-05-06,3460.00,3473.00,3437.00,3460.00,1324763
2025-05-07,3420.60,3459.50,3420.60,3445.10,1477128
2025-05-08,3448.00,3477.00,3428.70,3448.90,2543591
2025-05-09,3399.00,3446.20,3398.10,3440.30,2531757
2025-05-12,3505.00,3630.50,3502.20,3620.40,2228678
2025-05-13,3620.40,3623.00,3510.50,3515.00,3062887
2025-05-14,3521.00,3561.00,3508.60,3548.70,2119499
2025-05-15,3564.00,3600.00,3514.10,3579.90,3548330
2025-05-16,3593.90,3593.90,3546.10,3561.30,1666727
2025-05-19,3550.00,3550.00,3503.70,3518.80,2537377
2025-05-20,3531.80,3558.00,3494.00,3498.30,2038374
2025-05-21,3508.00,3537.00,3498.30,3525.80,1440153
2025-05-22,3495.00,3497.80,3451.30,3477.00,2034383
2025-05-23,3477.00,3535.00,3465.60,3514.60,1274331
2025-05-26,3521.00,3545.00,3510.10,3537.30,967470
2025-05-27,3532.00,3540.00,3483.10,3498.70,2467680
2025-05-28,3520.00,3529.00,3493.00,3497.70,1222933
2025-05-29,3504.70,3532.50,3486.50,3498.10,3188072
2025-05-30,3490.00,3506.70,3453.10,3463.40,3404365
2025-06-02,3450.00,3460.00,3418.60,3449.80,1877585
2025-06-03,3446.00,3473.50,3400.50,3405.20,2848125
2025-06-04,3389.00,3394.80,3370.00,3380.90,2544807
2025-06-05,3409.00,3409.00,3363.70,3371.10,3584683
2025-06-06,3371.10,3390.90,3358.70,3384.20,2070390
2025-06-09,3400.00,3434.00,3390.90,3421.90,1718678
2025-06-10,3440.00,3485.80,3423.20,3462.90,2419874
2025-06-11,3470.00,3489.00,3449.10,3471.90,2847013
2025-06-12,3471.90,3474.70,3423.20,3434.20,4060134
2025-06-13,3393.20,3450.50,3393.20,3445.70,2178493
2025-06-16,3440.00,3509.00,3426.20,3496.30,1934088
2025-06-17,3510.00,3520.00,3488.10,3515.30,2111940
2025-06-18,3519.10,3538.00,3443.10,3451.40,2696327
2025-06-19,3450.00,3451.00,3413.00,3424.00,2672768
2025-06-20,3425.00,3446.30,3410.90,3435.70,2351248
2025-06-23,3415.00,3425.00,3370.00,3393.60,3123421
2025-06-24,3434.60,3442.10,3382.00,3390.40,3403048
2025-06-25,3407.30,3450.00,3400.00,3444.80,1757699
2025-06-26,3444.80,3451.40,3415.30,3441.80,2879106
2025-06-27,3455.00,3466.40,3431.00,3441.10,1778433
2025-06-30,3439.90,3464.90,3430.00,3462.00,1468351
2025-07-01,3455.00,3485.00,3413.50,3429.70,2375183
2025-07-02,3487.20,3489.90,3420.00,3423.30,3090585
2025-07-03,3430.00,3435.30,3397.60,3400.80,2531870
2025-07-04,3408.00,3427.00,3390.10,3419.80,1109320
2025-07-07,3418.30,3426.10,3408.40,3411.70,1639174
2025-07-08,3405.00,3425.00,3393.40,3406.20,2325242
2025-07-09,3410.00,3414.00,3367.00,3383.80,2034938
2025-07-10,3380.00,3399.00,3356.00,3382.00,3035012
2025-07-11,3299.90,3335.00,3261.10,3266.00,7635550
2025-07-14,3266.00,3272.00,3200.00,3222.70,3924009
2025-07-15,3206.00,3259.40,3206.00,3252.30,2590889
2025-07-16,3227.00,3244.90,3220.60,3233.10,2540733
2025-07-17,3224.10,3242.00,3204.10,3209.20,2947640
2025-07-18,3225.00,3228.80,3187.00,3189.90,3432645
2025-07-21,3190.00,3197.60,3152.00,3158.20,3844346
2025-07-22,3159.60,3180.10,3154.60,3159.60,3198036
2025-07-23,3159.60,3182.00,3157.60,3179.10,1922875
2025-07-24,3165.10,3173.70,3140.00,3148.00,2934778
2025-07-25,3140.00,3156.90,3125.60,3135.80,2568917
2025-07-28,3110.00,3118.00,3069.90,3079.30,3374473
2025-07-29,3060.00,3074.00,3041.20,3056.00,4785312
2025-07-30,3060.00,3069.00,3047.20,3053.60,2880121
2025-07-31,3041.70,3059.80,3015.00,3036.80,2968371
2025-08-01,3029.90,3036.80,3000.00,3003.00,2053847
2025-08-04,3009.10,3079.40,2991.60,3074.40,2519252
2025-08-05,3074.40,3077.50,3042.00,3063.90,1927996
2025-08-06,3063.00,3066.80,3026.00,3032.30,1487081
2025-08-07,3016.00,3051.60,3010.90,3047.00,2543076
2025-08-08,3048.10,3059.80,3025.00,3036.40,2762140
2025-08-11,3036.40,3049.90,3021.30,3040.80,1884215
2025-08-12,3041.00,3096.40,3026.90,3035.40,3358232
2025-08-13,3036.10,3044.40,3028.60,3036.20,2148166
2025-08-14,3034.00,3055.90,3019.10,3022.30,3342174
2025-08-18,3046.50,3049.00,3003.40,3011.20,2945609
2025-08-19,3011.20,3025.00,3011.10,3016.20,2650784
2025-08-20,3010.90,3103.40,3010.90,3098.60,4952358
2025-08-21,3130.00,3130.00,3083.10,3102.60,3230726
2025-08-22,3086.00,3095.70,3050.00,3054.00,1593791
2025-08-25,3087.30,3152.00,3077.10,3140.60,3448370
2025-08-26,3129.00,3162.00,3120.00,3157.20,5522097
2025-08-28,3145.00,3146.50,3086.50,3093.70,3116051
2025-08-29,3093.00,3115.00,3077.20,3084.70,2271789
2025-09-01,3090.00,3131.10,3090.00,3112.60,1246862
2025-09-02,3121.10,3155.00,3103.10,3111.50,2185229
2025-09-03,3129.90,3141.90,3088.00,3097.50,1799774
2025-09-04,3116.00,3118.00,3090.80,3095.70,1481391
2025-09-05,3097.10,3103.40,3028.60,3048.30,2802055
